,year,level_norm,city,count
1,1964,0.0,Atlantic City,4
2,1965,-3.6,Atlantic City,4
3,1966,-14.2,Atlantic City,4
4,1967,29.7,Atlantic City,4
5,1968,35.5,Atlantic City,4
6,1969,81.1,Atlantic City,4
7,1971,113.3,Atlantic City,4
8,1972,109.6,Atlantic City,4
9,1973,113.2,Atlantic City,4
10,1974,91.4,Atlantic City,4
11,1975,90.6,Atlantic City,4
12,1976,11.3,Atlantic City,4
13,1977,15.2,Atlantic City,4
14,1978,64.5,Atlantic City,4
15,1979,42.9,Atlantic City,4
16,1980,55.7,Atlantic City,4
17,1981,49.7,Atlantic City,4
18,1982,87.2,Atlantic City,4
19,1983,146.1,Atlantic City,4
20,1984,129.7,Atlantic City,4
21,1985,100.2,Atlantic City,4
22,1986,123.9,Atlantic City,4
23,1987,146.1,Atlantic City,4
24,1988,88.8,Atlantic City,4
25,1989,90.6,Atlantic City,4
26,1990,87.5,Atlantic City,4
27,1991,155.8,Atlantic City,4
28,1992,189.5,Atlantic City,4
29,1993,200.6,Atlantic City,4
30,1994,85.2,Atlantic City,4
31,1995,113.7,Atlantic City,4
32,1996,206.8,Atlantic City,4
33,1997,193.6,Atlantic City,4
34,1998,228.4,Atlantic City,4
35,1999,182.4,Atlantic City,4
36,2000,157.3,Atlantic City,4
37,2001,178.0,Atlantic City,4
38,2002,192.6,Atlantic City,4
39,2003,173.8,Atlantic City,4
40,2004,180.7,Atlantic City,4
41,2005,236.5,Atlantic City,4
42,2006,212.2,Atlantic City,4
43,2007,177.3,Atlantic City,4
44,2008,202.8,Atlantic City,4
45,2009,247.6,Atlantic City,4
46,2010,279.8,Atlantic City,4
47,2011,269.9,Atlantic City,4
48,2012,259.5,Atlantic City,4
49,2013,209.6,Atlantic City,4
50,2014,235.2,Atlantic City,4
