year,level_norm,city
1984,0.0,Balboa
1985,-50.1,Balboa
1986,-7.4,Balboa
1987,-50.3,Balboa
1988,-202.6,Balboa
1989,-144.4,Balboa
1990,-23.9,Balboa
1991,28.5,Balboa
1992,20.1,Balboa
1993,28.1,Balboa
1994,-2.0,Balboa
1995,-3.2,Balboa
1996,18.3,Balboa
1997,110.9,Balboa
1998,18.4,Balboa
1999,-14.5,Balboa
2000,-33.1,Balboa
2001,-41.8,Balboa
2002,35.5,Balboa
2003,178.3,Balboa
2004,75.6,Balboa
2005,148.7,Balboa
2006,68.5,Balboa
2007,-8.9,Balboa
2008,57.9,Balboa
2009,-2.4,Balboa
2010,-15.9,Balboa
2011,-2.8,Balboa
2012,-31.0,Balboa
2013,-2.8,Balboa
2014,10.1,Balboa
